Global Volcanism Program - Volcanoes of the World 5.1.7,,,Downloaded on 30 May 2024 at 04:39 PM,,,,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
312080,Black Peak,Stratovolcano,-1900,United States,Alaska,Alaska Peninsula,56.552,-158.785,1032,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,0,0,478
327050,Black Rock Desert,Volcanic field,1290,United States,Canada and Western USA,USA (Utah),38.97,-112.5,1800,Rift zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Rhyolite, , , , ,3292,3292,3679,54291
322030,Blue Lake Crater,Maar,680,United States,Canada and Western USA,USA (Oregon),44.4125,-121.7686,1136,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,19,308,6914,286219
311100,Bobrof,Stratovolcano,Unknown,United States,Alaska,Aleutian Islands,51.91,-177.438,738,Subduction zone / Intermediate crust (15-25 km),Evidence Uncertain,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,0,0,0
311300,Bogoslof,Stratovolcano,2017,United States,Alaska,Aleutian Islands,53.93,-168.03,150,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , ,0,0,0,4216
320170,Bridge River Cones,Volcanic field,Unknown,Canada,Canada and Western USA,Canada,50.8,-123.4,2500,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,55,55,219,15871
311010,Buldir,Stratovolcano,Unknown,United States,Alaska,Aleutian Islands,52.35,175.911,656,Subduction zone / Intermediate crust (15-25 km),Evidence Uncertain,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,0,0,0
315001,Buzzard Creek,Tuff ring(s),-1050,United States,Alaska,Alaska (eastern),64.0616,-148.4327,830,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,0,0,12,79489
311230,Carlisle,Stratovolcano,1828,United States,Alaska,Aleutian Islands,52.894,-170.054,1620,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,30
327110,Carrizozo,Pyroclastic cone(s),-3250,United States,Canada and Western USA,USA (New Mexico),33.78,-105.93,1731,Rift zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,2,11,2596,89711
320811,Cayley Volcanic Field,Volcanic field,Unknown,Canada,Canada and Western USA,Canada,50.12,-123.28,2375,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,0,0,0
341030,Ceboruco,Stratovolcano,1875,Mexico,México and Central America,Mexico,21.125,-104.508,2280,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Rhyolite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , ,616,30319,93057,1282014
311200,Chagulak,Stratovolcano,Unknown,United States,Alaska,Aleutian Islands,52.577,-171.13,1142,Subduction zone / Intermediate crust (15-25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,0
341080,Chichinautzin,Volcanic field,399,Mexico,México and Central America,Mexico,19.139,-99.16,3938,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Dacite,Basalt / Picro-Basalt, ,Trachybasalt / Tephrite Basanite, , , , ,584725,584725,4061942,28030794
341120,"Chichon, El",Lava dome(s),1982,Mexico,México and Central America,Mexico,17.3602,-93.2297,1150,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachyandesite / Basaltic Trachyandesite, , , , ,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , , ,3759,11000,143015,3570632
312110,Chiginagak,Stratovolcano,1998,United States,Alaska,Alaska Peninsula,57.135,-156.99,2221,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,0,0,0,52
315030,Churchill,Stratovolcano,847,United States,Alaska,Alaska (eastern),61.38,-141.75,5005,Intraplate / Continental crust (>25 km),Eruption Dated,Dacite, , , , , , , , , ,0,0,0,95
322150,Cinnamon Butte,Pyroclastic cone(s),Unknown,United States,Canada and Western USA,USA (Oregon),43.2411,-122.1111,1958,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt, , , , , , , , , ,113,113,913,69577
323100,Clear Lake Volcanic Field,Volcanic field,Unknown,United States,Canada and Western USA,USA (California),38.97,-122.77,1439,Subduction zone / Continental crust (>25 km),Evidence Credible,Dacite,Andesite / Basaltic Andesite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,52801,52801,71791,1059280
311240,Cleveland,Stratovolcano,2020,United States,Alaska,Aleutian Islands,52.825,-169.944,1730,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,0,0,9
331011,Cobb Segment,Fissure vent(s),-1180,Canada,Hawaii and Pacific Ocean,Pacific Ocean (northern),46.88,-129.33,-2100,Rift zone / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
341096,Cofre de Perote,Compound,1150,Mexico,México and Central America,Mexico,19.492,-97.15,4282,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,658,18638,885440,4907992
