Global Volcanism Program - Volcanoes of the World 5.1.7,,,Downloaded on 31 May 2024 at 03:23 PM,,,,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
357080,Antuco,Stratovolcano,1869,Chile,South America,Central Chile and Argentina,-37.406,-71.349,2979,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,117,474,3872,381623
358024,Apagado,Pyroclastic cone,-590,Chile,South America,Southern Chile and Argentina,-41.88,-72.58,1210,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,5,44,4474,354002
355091,"Apagado, El",Synonym of Escalante,,,,,,,,,,,,,,,,,,,,,,,
355160,Aracar,Stratovolcano,Unknown,Argentina,South America,"Northern Chile, Bolivia and Argentina",-24.29,-67.783,6095,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,0,94,4803
353081,Arcturus Lake,Crater of Genovesa,,,,,,,,,,,,,,,,,,,,,,,
352021,Arenal I,Dome of Atacazo,,,,,,,,,,,,,,,,,,,,,,,
352021,Arenal II,Dome of Atacazo,,,,,,,,,,,,,,,,,,,,,,,
357122,"Arenal, Volcán",Tuff ring of Lanin,,,,,,,,,,,,,,,,,,,,,,,
351020,Arenas,"Crater of Ruiz, Nevado del",,,,,,,,,,,,,,,,,,,,,,,
354010,"Arequipa, Volcan de","Synonym of Misti, El",,,,,,,,,,,,,,,,,,,,,,,
357070,"Arrau, Volcán","Dome of Chillan, Nevados de",,,,,,,,,,,,,,,,,,,,,,,
357153,Arrayanes,Cone of Antillanca Volcanic Complex,,,,,,,,,,,,,,,,,,,,,,,
355094,"Aspero, Cerro",Dome of Purico Complex,,,,,,,,,,,,,,,,,,,,,,,
355092,"Atacama, Volcan de",Synonym of Licancabur,,,,,,,,,,,,,,,,,,,,,,,
355120,"Atacama, Volcán de",Synonym of Lastarria,,,,,,,,,,,,,,,,,,,,,,,
352021,Atacazo,Stratovolcano,-320,Ecuador,South America,Ecuador,-0.353,-78.617,4463,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,449,212988,1837303,3769593
357023,Atuel,"Caldera of Atuel, Caldera del",,,,,,,,,,,,,,,,,,,,,,,
357023,"Atuel, Caldera del",Caldera,Unknown,Argentina,South America,Central Chile and Argentina,-34.592,-69.921,5189,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,297,297,1003,676916
354001,"Auquihuato, Cerro",Pyroclastic cone,Unknown,Peru,South America,Peru,-15.07,-73.18,4980,Subduction zone / Continental crust (>25 km),Evidence Uncertain,No Data (checked), , , , , , , , , ,213,1324,12228,173927
358080,Aymond,Pyroclastic cone of Pali-Aike Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
351061,"Azafatudo, Cerro",Synonym of Sotara,,,,,,,,,,,,,,,,,,,,,,,
351090,Azufral,Stratovolcano,-930,Colombia,South America,Colombia,1.08,-77.68,4070,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,4334,40657,387292,1817609
351090,Azufral De Tuquerres,Synonym of Azufral,,,,,,,,,,,,,,,,,,,,,,,
357150,"Azufral, El",Crater of Puyehue-Cordon Caulle,,,,,,,,,,,,,,,,,,,,,,,
357040,Azufre,Caldera of Planchon-Peteroa,,,,,,,,,,,,,,,,,,,,,,,
357040,"Azufre, Baños",Thermal of Planchon-Peteroa,,,,,,,,,,,,,,,,,,,,,,,
355120,"Azufre, Cerro de",Synonym of Lastarria,,,,,,,,,,,,,,,,,,,,,,,
353050,"Azufre, Volcán de","Thermal of Negra, Sierra",,,,,,,,,,,,,,,,,,,,,,,
357030,"Azufreas, Volcán",Stratovolcano of Tinguiririca,,,,,,,,,,,,,,,,,,,,,,,
357040,Azufre-Plachón-Peteroa,Synonym of Planchon-Peteroa,,,,,,,,,,,,,,,,,,,,,,,
355101,"Azufrera Aguas Calientes, Cerro",Cone of Cordon de Puntas Negras,,,,,,,,,,,,,,,,,,,,,,,
355101,"Azufrera Perro Muerto, Cerro",Cone of Cordon de Puntas Negras,,,,,,,,,,,,,,,,,,,,,,,
355101,"Azufrera Yacimiento, Cerro",Cone of Cordon de Puntas Negras,,,,,,,,,,,,,,,,,,,,,,,
355101,Azufreras Tuyajto,Cone of Cordon de Puntas Negras,,,,,,,,,,,,,,,,,,,,,,,
357150,"Azufreres, Las","Synonym of Azufres, Los",,,,,,,,,,,,,,,,,,,,,,,
357150,"Azufres, Los",Thermal of Puyehue-Cordon Caulle,,,,,,,,,,,,,,,,,,,,,,,
357060,"Azul, Cerro",Stratovolcano,1967,Chile,South America,Central Chile and Argentina,-35.653,-70.761,3788,Subduction zone / Continental crust (>25 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,9,158,3832,720948
353060,"Azul, Cerro",Shield,2008,Ecuador,South America,Galapagos Islands,-0.92,-91.408,1640,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,220,220,314,1936
353120,"Azul, Cerro",Cone of San Cristobal (Ecuador),,,,,,,,,,,,,,,,,,,,,,,
353050,"Ballena, Cerro","Tuff cone of Negra, Sierra",,,,,,,,,,,,,,,,,,,,,,,
357061,"Baños, Crateres de los","Dome of Maule, Laguna del",,,,,,,,,,,,,,,,,,,,,,,
357072,"Baños, Los",Thermal of Tromen Volcanic Plateau,,,,,,,,,,,,,,,,,,,,,,,
357040,"Banos, Nevado de los",Synonym of Planchon-Peteroa,,,,,,,,,,,,,,,,,,,,,,,
353050,"Barahona, Cerro","Pyroclastic cone of Negra, Sierra",,,,,,,,,,,,,,,,,,,,,,,
357061,"Barrancas, Cerro","Cone of Maule, Laguna del",,,,,,,,,,,,,,,,,,,,,,,
358030,Barranes Colorado,Cone of Huequi,,,,,,,,,,,,,,,,,,,,,,,
353090,Bartholomew Island,Crater of Santiago,,,,,,,,,,,,,,,,,,,,,,,
351080,Baston,Crater of Galeras,,,,,,,,,,,,,,,,,,,,,,,
355122,"Bayo Gorbea, Cerro",Complex,Unknown,Chile-Argentina,South America,"Northern Chile, Bolivia and Argentina",-25.414,-68.588,5413,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,26,288,7824
355122,"Bayo, Cerro","Synonym of Bayo Gorbea, Cerro",,,,,,,,,,,,,,,,,,,,,,,
357072,"Bayo, Cerro",Cone of Tromen Volcanic Plateau,,,,,,,,,,,,,,,,,,,,,,,
353030,Beagle,Tuff cone of Darwin,,,,,,,,,,,,,,,,,,,,,,,
357140,"Bellavista, Cerro",Pyroclastic cone of Carran-Los Venados,,,,,,,,,,,,,,,,,,,,,,,
352081,"Bellavista, Loma",Pyroclastic cone of Licto,,,,,,,,,,,,,,,,,,,,,,,
353080,Bindloe,Synonym of Marchena,,,,,,,,,,,,,,,,,,,,,,,
358080,"Bismarck, Lago",Maar of Pali-Aike Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
357066,"Blanca, La",Pyroclastic cone of Payun Matru,,,,,,,,,,,,,,,,,,,,,,,
357102,"Blanca, Laguna",Volcanic field,Unknown,Argentina,South America,Central Chile and Argentina,-39.02,-70.37,1700,Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , , , ,0,0,0,0
357064,"Blancas, Lomas",Stratovolcano,Unknown,Chile,South America,Central Chile and Argentina,-36.286,-71.009,2268,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,127,398,1980,355814
357070,"Blanco, Cerro","Stratovolcano of Chillan, Nevados de",,,,,,,,,,,,,,,,,,,,,,,
355210,"Blanco, Cerro",Caldera of Cerro Blanco,,,,,,,,,,,,,,,,,,,,,,,
355210,"Blanco, Cerro",Caldera,-2300,Argentina,South America,"Northern Chile, Bolivia and Argentina",-26.7657,-67.746,4670,Subduction zone / Continental crust (>25 km),Eruption Dated,Rhyolite, , , , , , , , , ,39,39,65,14279
357061,"Bobadilla, Crater","Cone of Maule, Laguna del",,,,,,,,,,,,,,,,,,,,,,,
351100,Bocca Grande,Crater of Cumbal,,,,,,,,,,,,,,,,,,,,,,,
352022,Boliche,Dome of Chacana,,,,,,,,,,,,,,,,,,,,,,,
357010,Bravard,Synonym of Tupungatito,,,,,,,,,,,,,,,,,,,,,,,
355123,"Bravas, Lagunas","Synonym of Nevada, Sierra",,,,,,,,,,,,,,,,,,,,,,,
351012,"Bravo, Cerro",Stratovolcano,1720,Colombia,South America,Colombia,5.091,-75.293,3985,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,1679,4916,538690,3929468
353120,"Brujo, Cerro",Tuff cone of San Cristobal (Ecuador),,,,,,,,,,,,,,,,,,,,,,,
357130,"Buey, Crater del",Crater of Mocho-Choshuenco,,,,,,,,,,,,,,,,,,,,,,,
351060,"Buey, Laguna la",Crater of Purace,,,,,,,,,,,,,,,,,,,,,,,
358070,"Burney, Monte",Stratovolcano,1910,Chile,South America,Southern Chile and Argentina,-52.33,-73.4,1758,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,0,0,3309
358012,Cabeza de Vaca,Cone of Cayutue-La Viguería,,,,,,,,,,,,,,,,,,,,,,,
353090,Cabo Cowan,Tuff cone of Santiago,,,,,,,,,,,,,,,,,,,,,,,
357112,"Caburgua, Volcanes de",Cone of Caburgua-Huelemolle,,,,,,,,,,,,,,,,,,,,,,,
357112,Caburgua-Huelemolle,Volcanic field,-5050,Chile,South America,Central Chile and Argentina,-39.25,-71.75,1652,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,5951,5951,17774,521553
354007,Cachani,"Synonym of Chachani, Nevado",,,,,,,,,,,,,,,,,,,,,,,
355104,Caichinque,Stratovolcano(es),Unknown,Chile,South America,"Northern Chile, Bolivia and Argentina",-23.949,-67.74,4458,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,8,148,6193
357042,Cajon los Calabozos,Thermal of Calabozos,,,,,,,,,,,,,,,,,,,,,,,
357042,Calabozos,Caldera,Unknown,Chile,South America,Central Chile and Argentina,-35.558,-70.496,3508,Subduction zone / Continental crust (>25 km),Evidence Credible,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,550,550,1023,305637
358020,Calbuco,Stratovolcano,2015,Chile,South America,Southern Chile and Argentina,-41.33,-72.618,1974,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,70,871,32265,575233
353040,"Calderon, Volcan",Synonym of Alcedo,,,,,,,,,,,,,,,,,,,,,,,
354050,"Caliente, Cerro",Stratovolcano of Yucamane,,,,,,,,,,,,,,,,,,,,,,,
357091,Callaquen,Synonym of Callaqui,,,,,,,,,,,,,,,,,,,,,,,
357091,Callaqui,Stratovolcano,1980,Chile,South America,Central Chile and Argentina,-37.92,-71.45,3164,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,56,294,4354,400426
352050,"Callo, Cerrito del",Cone of Cotopaxi,,,,,,,,,,,,,,,,,,,,,,,
358010,Calluneto,Synonym of Osorno,,,,,,,,,,,,,,,,,,,,,,,
358010,Callvuco,Synonym of Osorno,,,,,,,,,,,,,,,,,,,,,,,
357100,Canasto,Crater of Lonquimay,,,,,,,,,,,,,,,,,,,,,,,
357061,"Candado, El","Cone of Maule, Laguna del",,,,,,,,,,,,,,,,,,,,,,,
352022,Caparina,Dome of Chacana,,,,,,,,,,,,,,,,,,,,,,,
353011,Cape Berkeley Volcano,Synonym of Ecuador,,,,,,,,,,,,,,,,,,,,,,,
352021,"Caracha, La",Stratovolcano of Atacazo,,,,,,,,,,,,,,,,,,,,,,,
357060,Caracol,"Crater of Azul, Cerro",,,,,,,,,,,,,,,,,,,,,,,
357093,"Caracol, Volcán",Cone of Tolhuaca,,,,,,,,,,,,,,,,,,,,,,,
357061,"Cari-Launa, Volcanes","Dome of Maule, Laguna del",,,,,,,,,,,,,,,,,,,,,,,
357123,Caririñe,Stratovolcano of Huanquihue Group,,,,,,,,,,,,,,,,,,,,,,,
357140,Carrán,Maar of Carran-Los Venados,,,,,,,,,,,,,,,,,,,,,,,
357140,"Carrán, Cerro","Synonym of Guindos, Los",,,,,,,,,,,,,,,,,,,,,,,
357140,Carran-Los Venados,Pyroclastic cone(s),1979,Chile,South America,Central Chile and Argentina,-40.35,-72.07,1114,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,4840,4840,9001,452820
357153,Casablanca,Stratovolcano of Antillanca Volcanic Complex,,,,,,,,,,,,,,,,,,,,,,,
354060,"Casiri, Nevados",Stratovolcano(es),Unknown,Peru,South America,Peru,-17.4852,-69.7886,5626,Subduction zone / Continental crust (>25 km),Evidence Credible,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , , , , ,233,922,15247,419038
357060,"Casitas, Volcán","Fissure vent of Azul, Cerro",,,,,,,,,,,,,,,,,,,,,,,
357150,Caulle Chico,Synonym of Pichi Caulle,,,,,,,,,,,,,,,,,,,,,,,
357150,Caulle Grande,Synonym of Puyehue-Cordon Caulle,,,,,,,,,,,,,,,,,,,,,,,
353091,Cavagnaro,Crater of Santa Cruz,,,,,,,,,,,,,,,,,,,,,,,
357090,Caviahue,Caldera of Copahue,,,,,,,,,,,,,,,,,,,,,,,
358055,Cay,Stratovolcano,Unknown,Chile,South America,Southern Chile and Argentina,-45.059,-72.984,2090,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,0,10,104,74787
352006,Cayambe,Compound,1786,Ecuador,South America,Ecuador,0.029,-77.986,5790,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Rhyolite, , , , ,70,1148,109630,3154986
358040,Cayapiren,Synonym of Michinmahuida,,,,,,,,,,,,,,,,,,,,,,,
